Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM)
2021-06-16,1858.1,1860.75,1316.84,1318.16,1532.93,1534.93
2021-06-15,1863.85,1865.1,1324.08,1324.59,1537.12,1537.77
2021-06-14,1859.75,1865.6,1319.68,1321.96,1534.67,1539.12
2021-06-11,1891.95,1881.05,1336.47,1331.41,1556.13,1551.3
2021-06-10,1882.0,1888.65,1335.09,1334.9,1546.25,1550.2
2021-06-09,1890.45,1894.6,1332.96,1339.48,1550.74,1551.11
2021-06-08,1892.05,1893.15,1337.87,1339.78,1554.51,1553.71
2021-06-07,1882.05,1888.4,1331.17,1332.83,1547.99,1550.75
2021-06-04,1869.55,1890.6,1323.64,1332.49,1543.69,1552.37
2021-06-03,1892.15,1866.55,1334.34,1323.01,1552.51,1537.48
2021-06-02,1895.9,1902.75,1341.16,1343.15,1555.97,1559.49
2021-06-01,1907.7,1899.35,1344.74,1339.23,1558.97,1551.77
2021-05-28,1892.45,1899.95,1333.8,1342.12,1552.38,1561.76
2021-05-27,1895.05,1891.45,1341.7,1334.8,1554.13,1551.18
2021-05-26,1904.3,1899.75,1344.82,1344.83,1555.43,1553.81
2021-05-25,1882.8,1887.0,1327.56,1335.24,1536.18,1541.11
2021-05-24,1876.85,1880.15,1328.43,1327.2,1538.27,1537.96
2021-05-21,1877.65,1875.9,1321.3,1324.01,1535.54,1539.74
2021-05-20,1869.35,1878.3,1325.18,1327.39,1534.18,1537.76
2021-05-19,1860.0,1888.45,1312.79,1332.3,1523.53,1544.37
2021-05-18,1867.4,1866.75,1313.72,1315.5,1528.28,1529.05
2021-05-17,1848.45,1853.7,1310.92,1315.01,1521.46,1526.52
2021-05-14,1833.5,1838.1,1303.62,1303.03,1513.55,1513.68
2021-05-13,1814.3,1821.8,1292.51,1296.03,1503.15,1505.9
2021-05-12,1833.6,1830.7,1297.64,1297.05,1511.25,1513.62
2021-05-11,1837.15,1829.1,1299.97,1292.81,1510.14,1503.15
2021-05-10,1834.15,1840.45,1302.06,1304.14,1508.4,1513.4
2021-05-07,1820.5,1836.55,1308.39,1316.81,1506.83,1514.97
2021-05-06,1793.15,1813.15,1288.74,1304.92,1488.49,1503.1
2021-05-05,1778.05,1782.25,1280.02,1282.15,1482.18,1485.33
2021-05-04,1784.95,1797.75,1286.41,1298.16,1486.68,1495.55
2021-04-30,1768.8,1767.65,1271.59,1274.65,1462.62,1463.97
2021-04-29,1774.65,1762.65,1271.71,1264.53,1464.62,1455.95
2021-04-28,1764.15,1772.2,1270.89,1275.28,1461.6,1467.91
2021-04-27,1780.9,1784.15,1284.21,1283.52,1476.01,1476.74
2021-04-26,1779.65,1773.35,1278.68,1276.81,1470.52,1469.22
2021-04-23,1785.3,1781.8,1286.84,1285.39,1480.73,1477.29
2021-04-22,1785.65,1787.75,1285.31,1291.11,1484.05,1486.34
2021-04-21,1781.05,1798.2,1278.97,1292.91,1482.72,1497.18
2021-04-20,1765.5,1777.85,1262.16,1274.19,1464.13,1476.33
2021-04-19,1788.4,1774.5,1288.01,1271.07,1486.88,1475.5
2021-04-16,1766.45,1774.45,1283.68,1286.3,1475.16,1481.13
2021-04-15,1748.0,1757.2,1266.43,1275.38,1458.53,1467.26
2021-04-14,1743.3,1735.55,1264.59,1259.66,1457.57,1451.44
2021-04-13,1728.1,1747.95,1255.64,1270.93,1451.78,1464.26
2021-04-12,1741.55,1732.85,1266.46,1260.48,1462.9,1455.42
2021-04-09,1747.95,1741.2,1274.78,1267.77,1470.03,1464.7
2021-04-08,1743.7,1755.5,1269.24,1276.07,1468.89,1475.67
2021-04-07,1736.0,1738.05,1254.78,1265.13,1461.19,1461.7
2021-04-06,1731.05,1744.65,1251.9,1259.64,1465.51,1473.53
2021-04-01,1715.85,1726.05,1245.54,1248.8,1461.39,1468.52
2021-03-31,1685.35,1691.05,1222.55,1226.52,1435.08,1440.61
2021-03-30,1696.7,1683.95,1232.48,1227.77,1445.08,1436.91
2021-03-29,1723.95,1705.95,1247.62,1235.79,1464.15,1448.52
2021-03-26,1727.85,1731.8,1253.56,1254.86,1465.91,1469.09
2021-03-25,1729.2,1737.3,1260.07,1266.67,1463.94,1472.71
2021-03-24,1734.05,1730.5,1264.12,1261.36,1466.14,1462.79
2021-03-23,1739.25,1726.2,1264.26,1251.5,1462.36,1454.15
2021-03-22,1733.4,1736.15,1251.34,1254.89,1455.54,1456.11
2021-03-19,1737.2,1735.2,1246.79,1252.47,1460.12,1459.82
2021-03-18,1734.1,1725.9,1241.44,1239.37,1452.66,1448.03
2021-03-17,1736.95,1729.65,1248.35,1246.56,1458.0,1452.56
2021-03-16,1732.3,1735.0,1251.93,1249.2,1450.63,1457.23
2021-03-15,1727.9,1723.65,1240.98,1241.03,1449.02,1445.45
2021-03-12,1703.85,1704.8,1223.88,1227.46,1429.87,1428.96
2021-03-11,1736.35,1724.25,1244.27,1235.08,1451.41,1443.89
2021-03-10,1711.5,1716.2,1231.94,1233.6,1438.86,1440.92
2021-03-09,1702.85,1716.9,1228.1,1233.25,1430.73,1442.2
2021-03-08,1694.45,1687.05,1224.58,1220.07,1427.07,1420.33
2021-03-05,1696.05,1696.25,1228.96,1227.75,1421.12,1423.83
2021-03-04,1710.05,1712.1,1227.47,1224.49,1420.2,1422.07
2021-03-03,1727.05,1711.4,1235.53,1226.73,1428.27,1419.09
2021-03-02,1728.5,1723.85,1245.21,1237.38,1437.94,1431.66
2021-03-01,1746.95,1734.15,1252.21,1244.95,1450.67,1439.86
2021-02-26,1765.1,1742.85,1268.05,1250.67,1455.85,1438.2
2021-02-25,1792.1,1779.65,1265.76,1256.61,1465.4,1453.97
2021-02-24,1807.25,1788.0,1277.36,1266.98,1487.19,1474.74
2021-02-23,1809.5,1799.65,1284.93,1278.65,1489.22,1481.83
2021-02-22,1798.8,1807.45,1282.54,1286.54,1484.01,1487.53
2021-02-19,1773.75,1786.2,1267.34,1274.28,1461.39,1473.26
2021-02-18,1782.8,1773.15,1280.59,1271.17,1477.76,1468.7
2021-02-17,1788.85,1780.7,1289.76,1285.84,1482.78,1479.05
2021-02-16,1823.45,1794.25,1309.78,1292.94,1499.61,1482.23
2021-02-15,1817.45,1817.3,1306.56,1307.18,1497.94,1498.73
2021-02-12,1818.0,1816.35,1318.05,1313.95,1501.49,1501.76
2021-02-11,1841.7,1840.1,1331.92,1331.68,1518.67,1516.06
2021-02-10,1843.45,1842.65,1331.89,1330.76,1520.11,1519.63
2021-02-09,1846.55,1839.6,1341.15,1334.45,1525.25,1520.8
2021-02-08,1811.65,1835.25,1323.59,1336.43,1506.75,1522.16
2021-02-05,1808.55,1802.95,1320.6,1313.81,1510.14,1499.87
2021-02-04,1811.55,1785.9,1332.76,1305.85,1510.47,1490.15
2021-02-03,1834.7,1835.45,1345.39,1343.0,1527.02,1525.99
2021-02-02,1847.1,1833.1,1350.05,1345.5,1534.39,1523.67
2021-02-01,1857.8,1862.95,1355.64,1362.38,1537.89,1540.85
2021-01-29,1852.7,1863.8,1354.69,1357.78,1527.92,1534.28
2021-01-28,1839.65,1853.7,1348.65,1351.9,1519.92,1528.19
2021-01-27,1846.4,1843.0,1344.18,1347.05,1522.54,1526.56
2021-01-26,1853.2,1856.6,1356.73,1352.53,1527.22,1526.31
2021-01-25,1855.6,1856.85,1356.63,1359.03,1527.16,1531.34
2021-01-22,1853.6,1852.7,1357.21,1356.18,1522.36,1521.81
2021-01-21,1867.65,1862.1,1361.14,1356.35,1538.57,1532.14
2021-01-20,1854.6,1856.6,1354.23,1360.7,1530.42,1536.15
2021-01-19,1843.1,1834.7,1353.2,1347.59,1519.82,1512.89
2021-01-18,1833.95,1833.05,1354.19,1351.32,1520.71,1518.5
2021-01-15,1853.85,1839.0,1357.57,1352.4,1527.2,1519.93
2021-01-14,1840.25,1841.75,1347.62,1349.82,1513.05,1519.63
2021-01-13,1852.4,1858.85,1354.85,1362.17,1521.56,1527.97
2021-01-12,1861.85,1841.25,1369.58,1353.87,1531.93,1515.35
2021-01-11,1847.8,1847.25,1369.59,1371.58,1520.19,1521.21
2021-01-08,1891.3,1862.9,1391.81,1371.28,1545.19,1521.06
2021-01-07,1911.05,1920.1,1406.34,1415.11,1559.23,1566.03
2021-01-06,1957.2,1931.95,1433.65,1423.27,1586.11,1570.1
2021-01-05,1946.55,1940.35,1432.47,1426.93,1584.88,1582.74
2021-01-04,1930.8,1943.2,1411.22,1429.61,1570.71,1581.76
2020-12-31,1891.1,,1382.58,,1539.92,
2020-12-30,1877.55,1887.6,1381.31,1387.39,1528.89,1535.19
2020-12-29,1873.9,1874.3,1388.93,1389.42,1529.66,1528.49
2020-12-24,1872.55,,1376.14,,1535.87,
2020-12-23,1867.1,1875.0,1390.06,1382.44,1532.14,1535.06
2020-12-22,1873.3,1877.1,1399.73,1405.95,1532.73,1538.1
2020-12-21,1869.25,1880.0,1415.77,1413.57,1540.82,1539.53
2020-12-18,1878.95,1879.75,1390.8,1393.46,1533.41,1536.13
2020-12-17,1871.95,1890.75,1378.32,1390.65,1530.88,1542.85
2020-12-16,1861.35,1851.95,1377.59,1371.92,1525.38,1519.15
2020-12-15,1844.3,1850.65,1383.78,1384.84,1516.57,1523.64
2020-12-14,1820.25,1831.15,1356.09,1368.6,1497.52,1505.57
2020-12-11,1833.65,1842.0,1386.97,1394.21,1510.93,1519.65
2020-12-10,1834.2,1844.35,1377.48,1385.29,1515.23,1517.53
2020-12-09,1859.8,1841.75,1382.39,1372.29,1533.22,1521.65
2020-12-08,1864.5,1868.15,1396.14,1401.49,1538.77,1540.48
2020-12-07,1832.8,1859.95,1380.46,1397.01,1513.34,1531.11
2020-12-04,1839.3,1843.0,1368.44,1363.82,1512.46,1515.87
2020-12-03,1834.8,1832.35,1367.66,1360.34,1515.18,1506.56
2020-12-02,1832.95,1822.6,1372.15,1369.14,1520.07,1508.02
2020-12-01,1796.2,1810.75,1344.28,1356.07,1500.73,1509.8
2020-11-30,1771.95,1762.55,1330.03,1317.51,1478.69,1469.44
2020-11-27,1808.05,1779.3,1355.86,1333.41,1516.77,1489.63
2020-11-26,1814.85,1807.4,1358.23,1355.73,1524.11,1518.4
2020-11-25,1808.55,1810.2,1358.04,1354.93,1520.27,1520.57
2020-11-24,1818.1,1799.6,1361.21,1350.6,1529.02,1517.24
2020-11-23,1863.8,1840.2,1394.31,1378.49,1568.76,1552.02
2020-11-20,1867.0,1875.7,1406.04,1412.21,1575.0,1580.46
2020-11-19,1857.4,1857.35,1405.87,1404.16,1570.99,1569.46
2020-11-18,1877.2,1876.1,1412.59,1411.2,1579.66,1580.99
2020-11-17,1885.4,1889.05,1424.61,1425.29,1588.83,1591.52
2020-11-16,1892.6,1885.6,1436.67,1430.98,1598.11,1594.84
2020-11-13,1878.2,1890.9,1425.93,1437.08,1588.02,1600.27
2020-11-12,1868.0,1874.85,1415.57,1424.7,1581.08,1589.31
2020-11-11,1876.2,1860.95,1415.41,1408.37,1591.02,1583.48
2020-11-10,1874.9,1878.7,1416.49,1417.48,1589.54,1590.13
2020-11-09,1957.45,1867.3,1489.23,1417.47,1648.76,1573.95
2020-11-06,1947.95,1940.8,1483.17,1480.05,1642.71,1636.29
2020-11-05,1916.8,1938.45,1468.84,1480.78,1624.68,1638.38
2020-11-04,1888.55,1900.15,1455.69,1462.17,1616.41,1621.97
2020-11-03,1899.85,1908.3,1462.31,1464.05,1624.37,1628.73
2020-11-02,1886.75,1889.9,1460.34,1463.16,1620.72,1624.56
2020-10-30,1875.8,1881.85,1448.12,1453.92,1607.19,1611.24
2020-10-29,1876.85,1870.3,1444.24,1447.05,1600.58,1601.16
2020-10-28,1896.85,1869.95,1461.71,1439.3,1614.22,1593.38
2020-10-27,1898.9,1905.7,1458.73,1461.29,1607.8,1611.65
2020-10-26,1901.6,1898.45,1456.44,1460.29,1609.7,1607.61
2020-10-23,1910.6,1903.65,1458.74,1457.05,1612.36,1608.2
2020-10-22,1916.85,1900.95,1463.71,1451.76,1618.97,1608.39
2020-10-21,1918.95,1924.15,1470.68,1466.59,1619.98,1622.44
2020-10-20,1906.35,1898.4,1469.61,1464.05,1615.44,1606.43
2020-10-19,1910.0,1905.6,1468.41,1465.6,1624.65,1617.47
2020-10-16,1908.2,1905.05,1475.42,1475.46,1629.22,1624.25
2020-10-15,1891.7,1891.9,1460.01,1462.06,1615.89,1617.57
2020-10-14,1896.45,1910.05,1466.15,1464.63,1616.91,1624.12
2020-10-13,1920.8,1891.3,1471.33,1457.06,1629.03,1608.74
2020-10-12,1919.8,1925.5,1475.37,1476.28,1627.41,1629.74
2020-10-09,1912.4,1923.25,1478.48,1482.63,1620.76,1628.99
2020-10-08,1891.35,1887.45,1460.12,1460.7,1608.03,1607.73
2020-10-07,1888.0,1884.5,1464.33,1463.69,1605.56,1601.83
2020-10-06,1912.5,1913.4,1472.82,1476.0,1623.33,1623.9
2020-10-05,1899.65,1909.6,1467.48,1472.49,1616.41,1620.49
2020-10-02,1906.4,1903.05,1473.46,1471.82,1627.87,1624.44
2020-10-01,1895.55,1902.0,1477.01,1476.33,1615.96,1619.74
2020-09-30,1883.4,1886.9,1468.49,1467.63,1609.74,1613.3
2020-09-29,1882.4,1883.95,1461.87,1465.71,1610.02,1606.44
2020-09-28,1850.95,1864.3,1440.78,1448.37,1589.41,1597.52
2020-09-25,1870.05,1859.7,1467.05,1462.65,1605.25,1598.78
2020-09-24,1850.75,1861.75,1453.21,1460.92,1588.68,1598.5
2020-09-23,1888.1,1873.4,1483.48,1470.06,1611.49,1603.63
2020-09-22,1903.1,1906.0,1487.46,1493.16,1621.63,1625.25
2020-09-21,1930.9,1909.35,1503.21,1489.48,1638.18,1624.47
2020-09-18,1954.75,1950.85,1505.16,1508.01,1647.85,1648.66
2020-09-17,1936.1,1936.25,1494.67,1499.82,1642.78,1640.2
2020-09-16,1964.8,1961.8,1521.15,1512.55,1654.56,1656.74
2020-09-15,1963.55,1949.35,1523.13,1513.09,1652.13,1644.67
2020-09-14,1942.3,1958.7,1511.69,1518.97,1638.14,1648.83
2020-09-11,1944.5,1947.4,1519.82,1523.06,1639.41,1644.38
2020-09-10,1944.8,1966.25,1493.41,1519.71,1643.74,1651.26
2020-09-09,1928.4,1947.2,1489.69,1496.62,1638.56,1647.14
2020-09-08,1920.6,1910.95,1467.72,1466.27,1626.17,1622.4
2020-09-07,1928.4,1928.45,1463.08,1465.43,1629.88,1631.47
2020-09-04,1937.6,1926.3,1456.49,1459.56,1634.75,1633.12
2020-09-03,1934.1,1940.45,1453.86,1459.99,1635.28,1637.74
2020-09-02,1969.0,1947.05,1475.17,1462.43,1659.47,1645.45
2020-09-01,1987.95,1972.35,1479.83,1469.6,1661.33,1651.45
2020-08-28,1955.85,1957.35,1471.97,1472.91,1642.72,1647.31
2020-08-27,1938.8,1923.85,1467.87,1458.86,1638.87,1632.39
2020-08-26,1918.5,1932.95,1458.83,1465.95,1624.39,1636.05
2020-08-25,1925.45,1911.15,1468.35,1455.15,1626.43,1616.26
2020-08-24,1947.55,1943.95,1484.03,1485.57,1646.26,1643.61
2020-08-21,1932.85,1924.35,1465.87,1470.2,1635.58,1637.04
2020-08-20,1928.05,1927.15,1471.68,1469.84,1630.55,1629.6
2020-08-19,1993.15,1981.0,1504.23,1498.63,1668.47,1658.3
2020-08-18,2005.15,2008.75,1522.51,1517.61,1684.53,1680.52
2020-08-17,1949.85,1972.85,1488.13,1505.68,1645.87,1661.53
2020-08-14,1948.3,1944.75,1491.42,1482.09,1653.33,1643.31
2020-08-13,1931.0,1944.25,1476.06,1482.3,1632.47,1640.17
2020-08-12,1931.7,1931.9,1479.1,1483.7,1642.14,1640.57
2020-08-11,1996.6,1939.65,1524.4,1479.57,1694.51,1646.76
2020-08-10,2030.3,2044.5,1552.98,1561.38,1725.35,1734.96
2020-08-07,2061.5,2031.15,1574.37,1559.52,1743.82,1726.88
2020-08-06,2049.15,2067.15,1555.3,1569.59,1728.87,1743.43
2020-08-05,2034.45,2048.15,1553.3,1558.03,1718.09,1722.9
2020-08-04,1972.25,1977.9,1508.77,1519.62,1671.09,1686.56
2020-08-03,1972.95,1958.55,1509.5,1504.56,1678.39,1670.45
2020-07-31,1974.7,1964.9,1505.91,1492.54,1666.84,1661.72
2020-07-30,1952.2,1957.65,1503.0,1502.1,1662.3,1662.44
2020-07-29,1954.35,1950.9,1506.8,1502.39,1663.54,1659.24
2020-07-28,1931.65,1940.9,1499.15,1501.48,1647.7,1654.23
2020-07-27,1940.55,1936.65,1511.3,1504.78,1659.56,1647.7
2020-07-24,1893.85,1902.1,1486.67,1490.3,1631.55,1638.09
2020-07-23,1882.35,1878.3,1480.28,1477.47,1624.47,1621.54
2020-07-22,1851.0,1852.4,1462.85,1456.91,1604.82,1598.44
2020-07-21,1823.2,1842.55,1436.86,1449.35,1594.21,1608.36
2020-07-20,1810.3,1815.65,1437.92,1438.18,1580.21,1590.87
2020-07-17,1802.9,1807.35,1435.47,1442.45,1578.98,1581.07
2020-07-16,1804.6,1807.7,1438.09,1436.04,1583.72,1581.56
2020-07-15,1809.3,1804.6,1436.22,1431.41,1582.96,1579.57
2020-07-14,1798.2,1801.9,1436.58,1440.62,1583.14,1581.71
2020-07-13,1808.05,1807.5,1435.23,1432.26,1598.32,1591.68
2020-07-10,1805.75,1803.1,1433.4,1427.33,1599.35,1594.84
2020-07-09,1812.45,1812.1,1434.01,1431.74,1600.57,1600.08
2020-07-08,1799.35,1811.1,1438.4,1438.74,1596.38,1598.48
2020-07-07,1775.5,1789.55,1423.77,1424.84,1576.11,1585.0
2020-07-06,1774.4,1787.9,1420.76,1429.43,1572.12,1578.36
2020-07-03,1774.65,1772.9,1426.29,1422.4,1580.33,1577.7
2020-07-02,1771.85,1777.45,1415.0,1421.6,1568.97,1577.13
2020-07-01,1787.4,1771.05,1441.9,1424.63,1592.93,1574.82
2020-06-30,1770.7,1768.1,1444.18,1436.58,1580.35,1577.32
2020-06-29,1768.8,1771.6,1434.67,1440.31,1571.23,1573.54
2020-06-26,1762.1,1747.6,1420.61,1414.51,1570.03,1559.91
2020-06-25,1758.55,1756.55,1412.64,1414.73,1565.29,1565.79
2020-06-24,1775.7,1766.05,1420.74,1416.9,1573.63,1567.55
2020-06-23,1756.6,1768.9,1409.85,1416.36,1556.17,1560.7
2020-06-22,1745.45,1761.85,1405.26,1418.11,1555.72,1567.17
2020-06-19,1728.55,1734.75,1392.17,1401.16,1541.18,1545.49
2020-06-18,1732.65,1719.5,1384.73,1383.51,1539.29,1532.93
2020-06-17,1717.3,1724.35,1368.69,1375.17,1527.88,1537.26
2020-06-16,1728.35,1719.85,1366.61,1361.78,1525.44,1526.54
2020-06-15,1710.4,1710.45,1365.58,1361.52,1520.72,1516.83
2020-06-12,1735.85,1733.5,1374.1,1378.13,1533.28,1534.15
2020-06-11,1731.9,1738.25,1361.79,1373.74,1519.57,1528.1
2020-06-10,1717.65,1722.05,1346.64,1350.26,1511.88,1515.23
2020-06-09,1707.5,1713.5,1350.46,1348.87,1515.41,1510.62
2020-06-08,1692.0,1690.35,1333.97,1331.32,1496.91,1494.61
2020-06-05,1709.55,1683.45,1353.79,1327.91,1510.22,1490.53
2020-06-04,1706.45,1700.05,1363.97,1353.58,1523.86,1507.77
2020-06-03,1717.6,1705.35,1364.8,1355.41,1531.41,1519.81
2020-06-02,1740.25,1742.15,1385.76,1386.58,1556.83,1556.44
2020-06-01,1734.8,1730.6,1398.77,1393.13,1559.76,1556.16
2020-05-29,1725.65,1728.7,1401.92,1399.73,1550.15,1554.97
2020-05-28,1723.3,1717.35,1403.28,1398.27,1564.93,1556.61
2020-05-27,1705.15,1694.6,1385.95,1382.12,1552.71,1541.92
2020-05-26,1722.75,1720.25,1399.22,1393.57,1571.32,1566.63
2020-05-22,1732.45,1733.55,1421.99,1423.59,1588.83,1590.71
2020-05-21,1732.8,1724.9,1417.78,1410.45,1580.49,1571.04
2020-05-20,1750.05,1748.3,1428.74,1424.86,1597.62,1591.65
2020-05-19,1735.25,1737.95,1416.14,1418.34,1584.11,1589.01
2020-05-18,1756.9,1734.7,1450.85,1423.15,1625.84,1597.66
2020-05-15,1734.85,1735.35,1422.06,1427.67,1604.39,1602.6
2020-05-14,1716.4,1731.6,1403.67,1420.09,1587.84,1603.98
2020-05-13,1699.85,1708.4,1383.85,1394.74,1568.11,1573.09
2020-05-12,1703.45,1702.4,1381.84,1379.8,1574.5,1565.87
2020-05-11,1698.8,1702.75,1375.35,1378.55,1570.2,1571.81
2020-05-07,1688.65,1704.05,1366.29,1387.78,1565.21,1582.38
2020-05-06,1698.9,1691.5,1373.56,1366.73,1574.71,1564.13
2020-05-05,1696.3,1699.55,1363.83,1363.72,1566.36,1562.91
2020-05-04,1703.7,1709.1,1371.14,1374.63,1558.72,1563.83
2020-05-01,1673.05,1686.25,1332.08,1347.15,1523.14,1536.68
2020-04-30,1716.75,1702.75,1373.92,1361.69,1577.86,1568.91
2020-04-29,1706.0,1703.35,1371.97,1368.64,1569.69,1568.1
2020-04-28,1708.1,1691.55,1367.68,1357.98,1571.11,1559.27
2020-04-27,1717.25,1714.95,1381.36,1380.19,1582.96,1581.18
2020-04-24,1727.25,1715.9,1401.32,1391.59,1604.96,1589.09
2020-04-23,1727.55,1736.25,1399.49,1405.84,1601.78,1608.64
2020-04-22,1702.65,1710.55,1377.95,1388.28,1567.46,1576.44
2020-04-21,1678.6,1682.05,1358.16,1364.82,1548.0,1547.82
2020-04-20,1684.95,1686.2,1349.14,1355.7,1547.63,1551.98
2020-04-17,1693.15,1692.55,1362.48,1354.04,1564.47,1555.79
2020-04-16,1717.85,1729.5,1378.57,1382.91,1581.45,1589.06
2020-04-15,1712.25,1718.65,1367.92,1377.33,1566.02,1580.99
2020-04-14,1715.85,1741.9,1367.36,1383.07,1567.94,1588.26
2020-04-09,1662.5,1680.65,1339.48,1348.22,1529.0,1538.13
2020-04-08,1649.05,1647.8,1338.37,1330.27,1517.13,1514.0
2020-04-07,1652.2,1649.25,1344.23,1333.75,1519.53,1511.21
2020-04-06,1636.6,1648.3,1330.72,1341.06,1515.49,1526.66
2020-04-03,1609.75,1613.1,1310.66,1315.97,1490.47,1495.34
2020-04-02,1588.05,1616.8,1277.59,1307.02,1452.27,1489.72
2020-04-01,1594.25,1576.55,1288.95,1270.23,1457.94,1442.86
2020-03-31,1604.65,1608.95,1299.61,1296.81,1461.52,1468.81
2020-03-30,1624.45,1618.3,1312.56,1305.97,1466.88,1466.02
2020-03-27,1621.2,1617.3,1325.33,1316.16,1473.18,1469.48
2020-03-26,1620.1,1634.8,1361.37,1358.19,1480.12,1487.01
2020-03-25,1620.95,1605.45,1357.22,1371.38,1494.84,1486.17
2020-03-24,1599.5,1605.75,1362.61,1371.47,1472.98,1489.49
2020-03-23,1494.5,1525.4,1288.86,1312.91,1399.6,1411.0
2020-03-20,1504.45,1494.4,1275.32,1258.28,1400.34,1391.59
2020-03-19,1480.7,1474.25,1285.54,1257.83,1369.94,1365.89
2020-03-18,1506.0,1498.2,1254.5,1271.22,1367.0,1378.04
2020-03-17,1472.35,1536.2,1212.04,1275.66,1331.0,1400.4
2020-03-16,1504.65,1487.7,1223.28,1210.54,1346.36,1338.93
2020-03-13,1588.15,1562.8,1258.61,1248.83,1422.66,1407.3
2020-03-12,1636.65,1570.7,1284.28,1246.35,1457.11,1410.96
2020-03-11,1662.5,1653.75,1284.78,1279.01,1468.65,1462.25
2020-03-10,1657.4,1655.7,1269.4,1273.23,1460.0,1455.86
2020-03-09,1676.6,1672.5,1280.75,1272.94,1469.04,1462.1
2020-03-06,1687.0,1683.65,1296.8,1290.85,1490.13,1484.31
2020-03-05,1647.45,1659.6,1274.47,1284.7,1474.63,1482.69
2020-03-04,1644.8,1641.85,1286.73,1281.63,1475.06,1477.83
2020-03-03,1599.05,1615.5,1249.98,1260.25,1438.03,1446.03
2020-03-02,1609.7,1599.65,1258.79,1251.41,1451.47,1437.29
2020-02-28,1626.35,1609.85,1262.37,1254.88,1474.61,1468.18
2020-02-27,1646.6,1652.0,1278.58,1282.45,1505.32,1504.97
2020-02-26,1647.95,1634.9,1273.37,1264.76,1515.45,1505.42
2020-02-25,1655.9,1650.3,1275.54,1271.39,1528.06,1522.73
2020-02-24,1682.35,1671.65,1304.49,1293.69,1555.84,1540.26
2020-02-21,1633.7,1643.3,1264.81,1269.12,1512.48,1515.29
2020-02-20,1610.35,1619.0,1250.11,1258.45,1491.99,1496.77
2020-02-19,1609.5,1604.2,1239.8,1237.8,1490.4,1486.29
2020-02-18,1588.2,1589.85,1218.47,1220.37,1467.34,1470.77
2020-02-17,1580.3,1580.8,1212.41,1215.16,1457.04,1458.29
2020-02-14,1576.35,1581.4,1209.69,1214.2,1453.08,1456.79
2020-02-13,1575.0,1575.05,1213.54,1207.59,1447.27,1450.94
2020-02-12,1566.75,1563.7,1206.55,1206.55,1434.83,1434.54
2020-02-11,1567.7,1570.5,1212.77,1211.33,1436.01,1438.26
2020-02-10,1574.05,1573.2,1219.26,1215.93,1437.11,1439.64
2020-02-07,1568.3,1572.65,1212.45,1214.56,1432.33,1433.63
2020-02-06,1564.75,1563.3,1205.95,1206.71,1421.89,1422.45
2020-02-05,1552.2,1553.3,1189.3,1198.22,1407.53,1411.79
2020-02-04,1571.2,1558.35,1207.62,1196.66,1421.62,1411.09
2020-02-03,1578.85,1574.75,1207.98,1209.41,1426.65,1425.46
2020-01-31,1580.85,1584.2,1205.24,1204.63,1433.51,1431.96
2020-01-30,1580.4,1578.25,1213.75,1206.41,1435.16,1431.31
2020-01-29,1571.2,1573.45,1207.31,1209.2,1428.38,1429.95
2020-01-28,1579.6,1574.0,1212.19,1211.04,1433.33,1430.77
2020-01-27,1583.45,1580.1,1209.28,1210.04,1436.66,1433.94
2020-01-24,1561.85,1564.3,1192.63,1194.19,1415.04,1418.04
2020-01-23,1554.05,1562.9,1182.94,1191.24,1401.91,1411.77
2020-01-22,1558.1,1556.9,1193.19,1186.2,1404.78,1406.04
2020-01-21,1556.25,1551.3,1192.87,1188.14,1401.25,1397.26
2020-01-20,1559.25,1560.15,1200.93,1200.38,1406.76,1407.72
2020-01-17,1556.5,1557.6,1193.21,1195.15,1399.6,1402.93
2020-01-16,1555.2,1554.55,1190.97,1190.94,1393.61,1394.9
2020-01-15,1551.9,1549.0,1194.65,1189.01,1394.23,1389.14
2020-01-14,1544.95,1545.1,1190.69,1188.49,1387.83,1389.35
2020-01-13,1550.35,1549.9,1194.54,1192.96,1394.85,1393.52
2020-01-10,1548.8,1553.6,1185.45,1189.28,1395.78,1399.64
2020-01-09,1547.85,1550.75,1186.89,1188.49,1393.99,1396.14
2020-01-08,1582.85,1571.95,1206.13,1197.35,1421.87,1412.87
2020-01-07,1566.5,1567.85,1190.85,1197.05,1402.8,1406.52
2020-01-06,1576.85,1573.1,1198.09,1197.29,1408.44,1406.51
2020-01-03,1547.4,1548.75,1182.37,1184.48,1389.57,1387.99
2020-01-02,1520.55,1527.1,1151.36,1161.51,1358.46,1366.91
2019-12-31,1523.0,,1157.78,,1358.06,
2019-12-30,1511.5,1514.75,1152.37,1152.57,1350.22,1351.91
2019-12-27,1510.6,1511.5,1156.36,1152.67,1356.37,1353.85
2019-12-24,1490.85,,1152.58,,1345.94,
2019-12-23,1483.95,1482.1,1141.9,1145.81,1338.97,1336.85
2019-12-20,1476.9,1479.0,1132.19,1133.95,1328.47,1334.35
2019-12-19,1474.4,1476.7,1125.56,1132.33,1324.01,1327.55
2019-12-18,1478.9,1474.05,1128.99,1127.65,1328.2,1325.91
2019-12-17,1478.4,1475.8,1120.63,1121.76,1325.24,1323.35
2019-12-16,1477.4,1477.9,1106.87,1108.13,1325.97,1325.23
